time,Open,High,Low,Close,Volume,Spread,RealVolume
2026-04-20 15:15:00,1.17578,1.17588,1.1756,1.17574,311.0,8.0,0.0
2026-04-20 15:20:00,1.17576,1.17611,1.17573,1.1761,243.0,8.0,0.0
2026-04-20 15:25:00,1.17609,1.17615,1.17579,1.17579,131.0,8.0,0.0
2026-04-20 15:30:00,1.17579,1.17618,1.17576,1.17614,253.0,8.0,0.0
2026-04-20 15:35:00,1.17614,1.17631,1.17604,1.17625,331.0,8.0,0.0
2026-04-20 15:40:00,1.17625,1.17647,1.17624,1.17641,242.0,8.0,0.0
2026-04-20 15:45:00,1.17641,1.17666,1.17635,1.17661,229.0,8.0,0.0
2026-04-20 15:50:00,1.17661,1.17676,1.17631,1.17648,244.0,8.0,0.0
2026-04-20 15:55:00,1.17649,1.17652,1.17613,1.1765,323.0,8.0,0.0
2026-04-20 16:00:00,1.17651,1.17654,1.17616,1.1762,435.0,8.0,0.0
2026-04-20 16:05:00,1.1762,1.17714,1.17611,1.17651,673.0,8.0,0.0
2026-04-20 16:10:00,1.17649,1.17686,1.17646,1.17676,572.0,8.0,0.0
2026-04-20 16:15:00,1.17675,1.17696,1.17672,1.17676,329.0,8.0,0.0
2026-04-20 16:20:00,1.17677,1.17709,1.17655,1.17705,354.0,8.0,0.0
2026-04-20 16:25:00,1.17705,1.17743,1.17694,1.17731,455.0,8.0,0.0
2026-04-20 16:30:00,1.17731,1.17746,1.17705,1.17745,538.0,8.0,0.0
2026-04-20 16:35:00,1.17744,1.17776,1.17724,1.17731,540.0,8.0,0.0
2026-04-20 16:40:00,1.17731,1.17813,1.17722,1.17812,538.0,8.0,0.0
2026-04-20 16:45:00,1.17812,1.17816,1.17789,1.17803,489.0,8.0,0.0
2026-04-20 16:50:00,1.17804,1.17808,1.17739,1.1776,528.0,8.0,0.0
2026-04-20 16:55:00,1.1776,1.17779,1.17748,1.1775,448.0,8.0,0.0
2026-04-20 17:00:00,1.1775,1.1775,1.17693,1.17724,634.0,8.0,0.0
2026-04-20 17:05:00,1.17724,1.17725,1.17688,1.17699,465.0,8.0,0.0
2026-04-20 17:10:00,1.17699,1.17717,1.17669,1.1771,461.0,8.0,0.0
2026-04-20 17:15:00,1.17711,1.17741,1.17704,1.17731,540.0,8.0,0.0
2026-04-20 17:20:00,1.17731,1.1776,1.17725,1.17739,615.0,8.0,0.0
2026-04-20 17:25:00,1.17738,1.17756,1.1773,1.17756,355.0,8.0,0.0
2026-04-20 17:30:00,1.17757,1.17771,1.17733,1.17736,349.0,8.0,0.0
2026-04-20 17:35:00,1.17736,1.17766,1.17718,1.17738,383.0,8.0,0.0
2026-04-20 17:40:00,1.1774,1.17765,1.17727,1.17765,518.0,8.0,0.0
2026-04-20 17:45:00,1.17764,1.17781,1.17736,1.17761,390.0,8.0,0.0
2026-04-20 17:50:00,1.1776,1.1777,1.17626,1.17699,1189.0,8.0,0.0
2026-04-20 17:55:00,1.17698,1.17723,1.17682,1.17721,668.0,8.0,0.0
2026-04-20 18:00:00,1.1772,1.17741,1.17689,1.17695,664.0,8.0,0.0
2026-04-20 18:05:00,1.17692,1.17722,1.17683,1.17685,593.0,8.0,0.0
2026-04-20 18:10:00,1.17686,1.17745,1.17683,1.17745,487.0,8.0,0.0
2026-04-20 18:15:00,1.17745,1.17784,1.17721,1.1777,628.0,8.0,0.0
2026-04-20 18:20:00,1.1777,1.17867,1.1776,1.17836,989.0,8.0,0.0
2026-04-20 18:25:00,1.17836,1.17868,1.17829,1.17856,629.0,8.0,0.0
2026-04-20 18:30:00,1.17855,1.17855,1.17819,1.1783,603.0,8.0,0.0
2026-04-20 18:35:00,1.1783,1.17894,1.17814,1.17872,541.0,8.0,0.0
2026-04-20 18:40:00,1.17872,1.17896,1.17855,1.17856,335.0,8.0,0.0
2026-04-20 18:45:00,1.17855,1.17855,1.17836,1.1785,397.0,8.0,0.0
2026-04-20 18:50:00,1.17849,1.17852,1.17821,1.17824,305.0,8.0,0.0
2026-04-20 18:55:00,1.17825,1.17861,1.17821,1.1784,366.0,8.0,0.0
2026-04-20 19:00:00,1.17841,1.17873,1.17837,1.17856,499.0,8.0,0.0
2026-04-20 19:05:00,1.17856,1.17869,1.17845,1.17865,264.0,8.0,0.0
2026-04-20 19:10:00,1.17866,1.17875,1.1785,1.1786,250.0,8.0,0.0
2026-04-20 19:15:00,1.17859,1.1788,1.17852,1.17876,274.0,8.0,0.0
2026-04-20 19:20:00,1.17876,1.17881,1.17853,1.17854,163.0,8.0,0.0
2026-04-20 19:25:00,1.17854,1.17876,1.1784,1.17867,213.0,8.0,0.0
2026-04-20 19:30:00,1.1787,1.17872,1.17829,1.17829,206.0,8.0,0.0
2026-04-20 19:35:00,1.1783,1.1783,1.17818,1.1783,180.0,8.0,0.0
2026-04-20 19:40:00,1.1783,1.17864,1.1783,1.1785,295.0,8.0,0.0
2026-04-20 19:45:00,1.1785,1.1785,1.17829,1.17844,273.0,8.0,0.0
2026-04-20 19:50:00,1.17844,1.17864,1.17835,1.17856,228.0,8.0,0.0
2026-04-20 19:55:00,1.17857,1.1786,1.1784,1.17856,232.0,8.0,0.0
2026-04-20 20:00:00,1.17856,1.179,1.17856,1.1786,445.0,8.0,0.0
2026-04-20 20:05:00,1.1786,1.17883,1.17854,1.17879,276.0,8.0,0.0
2026-04-20 20:10:00,1.17879,1.1788,1.17869,1.17872,172.0,8.0,0.0
2026-04-20 20:15:00,1.17872,1.17876,1.17865,1.17865,197.0,8.0,0.0
2026-04-20 20:20:00,1.17866,1.17866,1.17839,1.1784,191.0,8.0,0.0
2026-04-20 20:25:00,1.1784,1.17841,1.17824,1.17824,186.0,8.0,0.0
2026-04-20 20:30:00,1.17824,1.17834,1.17813,1.17819,153.0,8.0,0.0
2026-04-20 20:35:00,1.17819,1.17852,1.17819,1.1784,419.0,8.0,0.0
2026-04-20 20:40:00,1.17839,1.17861,1.17823,1.17838,331.0,8.0,0.0
2026-04-20 20:45:00,1.17837,1.17842,1.17832,1.17835,154.0,8.0,0.0
2026-04-20 20:50:00,1.17835,1.1784,1.17825,1.17827,118.0,8.0,0.0
2026-04-20 20:55:00,1.17827,1.17836,1.1782,1.17836,148.0,8.0,0.0
2026-04-20 21:00:00,1.17836,1.17856,1.17836,1.17851,179.0,8.0,0.0
2026-04-20 21:05:00,1.17851,1.17879,1.17847,1.17875,186.0,8.0,0.0
2026-04-20 21:10:00,1.17874,1.17892,1.17832,1.17889,261.0,8.0,0.0
2026-04-20 21:15:00,1.1789,1.1789,1.17873,1.17874,319.0,8.0,0.0
2026-04-20 21:20:00,1.17874,1.17896,1.17874,1.17876,221.0,8.0,0.0
2026-04-20 21:25:00,1.17876,1.17881,1.17841,1.17851,208.0,8.0,0.0
2026-04-20 21:30:00,1.17849,1.17853,1.17838,1.17851,233.0,8.0,0.0
2026-04-20 21:35:00,1.17848,1.17857,1.17811,1.17812,304.0,8.0,0.0
2026-04-20 21:40:00,1.17812,1.17832,1.17811,1.17821,204.0,8.0,0.0
2026-04-20 21:45:00,1.1782,1.1783,1.17808,1.17814,237.0,8.0,0.0
2026-04-20 21:50:00,1.17814,1.17824,1.1781,1.17814,228.0,8.0,0.0
2026-04-20 21:55:00,1.17814,1.17822,1.17787,1.17805,252.0,8.0,0.0
2026-04-20 22:00:00,1.17804,1.17841,1.17797,1.17838,252.0,8.0,0.0
2026-04-20 22:05:00,1.17838,1.17861,1.17835,1.17852,170.0,8.0,0.0
2026-04-20 22:10:00,1.17852,1.17877,1.17841,1.17874,186.0,8.0,0.0
2026-04-20 22:15:00,1.17874,1.17882,1.17846,1.17846,130.0,8.0,0.0
2026-04-20 22:20:00,1.17846,1.17856,1.17845,1.17851,111.0,8.0,0.0
2026-04-20 22:25:00,1.17851,1.17861,1.1785,1.17861,92.0,9.0,0.0
2026-04-20 22:30:00,1.17861,1.17867,1.17856,1.17866,75.0,8.0,0.0
2026-04-20 22:35:00,1.17866,1.17887,1.17864,1.17882,162.0,8.0,0.0
2026-04-20 22:40:00,1.1788,1.17882,1.17862,1.17871,156.0,8.0,0.0
2026-04-20 22:45:00,1.17871,1.17873,1.17862,1.17865,170.0,8.0,0.0
2026-04-20 22:50:00,1.17865,1.17872,1.17852,1.17861,271.0,8.0,0.0
2026-04-20 22:55:00,1.17862,1.17879,1.17854,1.17859,172.0,8.0,0.0
2026-04-20 23:00:00,1.17859,1.17863,1.1785,1.1786,155.0,9.0,0.0
2026-04-20 23:05:00,1.1786,1.17886,1.17858,1.17876,155.0,8.0,0.0
2026-04-20 23:10:00,1.17876,1.17877,1.17867,1.17871,59.0,9.0,0.0
2026-04-20 23:15:00,1.1787,1.17871,1.17856,1.17861,53.0,8.0,0.0
