time,Open,High,Low,Close,Volume,Spread
2022-04-21,0.84956,0.85062,0.84317,0.84675,65826.0,51.89824561403509
2022-04-22,0.8467,0.84736,0.84117,0.84297,72533.0,50.0
2022-04-25,0.8428,0.84422,0.83839,0.842,74168.0,51.875
2022-04-26,0.8421,0.84717,0.84123,0.84146,66270.0,51.21875
2022-04-27,0.84146,0.84533,0.83815,0.8384,73180.0,49.43402777777778
2022-04-28,0.83826,0.83883,0.82832,0.83032,73478.0,50.53125
2022-04-29,0.8299,0.83298,0.82761,0.82997,68231.0,51.892361111111114
2022-05-02,0.82901,0.83151,0.82615,0.8282,64247.0,53.78048780487805
2022-05-03,0.8282,0.83106,0.82524,0.8257,67986.0,50.88194444444444
2022-05-04,0.8252,0.83493,0.82418,0.83305,65543.0,49.625
2022-05-05,0.83305,0.83592,0.82177,0.8243,70242.0,51.97222222222222
2022-05-06,0.82425,0.82915,0.82217,0.82647,81402.0,51.06944444444444
2022-05-09,0.8252,0.82656,0.81962,0.8223,84486.0,53.552083333333336
2022-05-10,0.8223,0.82452,0.818,0.81845,86314.0,50.517361111111114
2022-05-11,0.8185,0.82432,0.81672,0.81672,79954.0,51.166666666666664
2022-05-12,0.81735,0.81782,0.8119,0.8123,91149.0,51.892361111111114
2022-05-13,0.81165,0.81358,0.80842,0.81111,67644.0,52.38194444444444
2022-05-16,0.809,0.81326,0.80705,0.80883,83988.0,54.66319444444444
2022-05-17,0.81045,0.81688,0.80875,0.8129,69079.0,50.14930555555556
2022-05-18,0.81285,0.81647,0.81052,0.811,66545.0,49.30902777777778
2022-05-19,0.811,0.82084,0.80946,0.8179,92739.0,51.34375
2022-05-20,0.8178,0.82308,0.81613,0.82157,74336.0,50.75347222222222
2022-05-23,0.82086,0.82902,0.81903,0.8256,67915.0,52.923611111111114
2022-05-24,0.82555,0.82812,0.82247,0.8272,70045.0,51.87152777777778
2022-05-25,0.8277,0.83505,0.82292,0.8295,80310.0,49.204861111111114
2022-05-26,0.82915,0.83204,0.82496,0.82705,65097.0,48.89930555555556
2022-05-27,0.82576,0.83403,0.82576,0.83127,58453.0,49.69444444444444
2022-05-30,0.82987,0.83271,0.8275,0.82877,63384.0,51.736111111111114
2022-05-31,0.82877,0.83036,0.82059,0.82217,101884.0,50.1875
2022-06-01,0.82198,0.82527,0.81814,0.8197,100524.0,49.15277777777778
2022-06-02,0.8197,0.82517,0.81923,0.8242,84117.0,49.791666666666664
2022-06-03,0.8233,0.8257,0.81722,0.81907,79198.0,50.22569444444444
2022-06-06,0.81908,0.82067,0.81532,0.8162,69359.0,50.62152777777778
2022-06-07,0.81615,0.81662,0.80917,0.813,98305.0,48.31597222222222
2022-06-08,0.81235,0.81342,0.80762,0.80945,85408.0,47.892361111111114
2022-06-09,0.8085,0.81145,0.8079,0.8103,98621.0,49.072916666666664
2022-06-10,0.8103,0.81823,0.80992,0.81227,94560.0,47.8125
2022-06-13,0.80844,0.81292,0.80484,0.80648,128717.0,51.30902777777778
2022-06-14,0.8068,0.81027,0.80271,0.80425,122007.0,49.02777777777778
2022-06-15,0.8041,0.81293,0.8023,0.81015,142964.0,49.37847222222222
2022-06-16,0.80994,0.82524,0.80702,0.82339,136171.0,49.329861111111114
2022-06-17,0.82334,0.82448,0.81909,0.82214,130278.0,49.583333333333336
2022-06-20,0.81905,0.82659,0.81905,0.8215,89360.0,52.697916666666664
2022-06-21,0.8215,0.82245,0.81592,0.81705,93841.0,48.43402777777778
2022-06-22,0.8174,0.81806,0.81052,0.8107,101845.0,48.66319444444444
2022-06-23,0.8107,0.81677,0.81042,0.81435,117938.0,47.74305555555556
2022-06-24,0.8145,0.8183,0.81267,0.81342,81945.0,52.86805555555556
2022-06-27,0.81213,0.81498,0.81008,0.8109,92752.0,50.93402777777778
2022-06-28,0.81141,0.81141,0.80175,0.80175,87546.0,49.13194444444444
2022-06-29,0.80175,0.80478,0.79929,0.80025,108168.0,51.37847222222222
2022-06-30,0.80025,0.80546,0.79974,0.80359,111001.0,48.13194444444444
2022-07-01,0.80329,0.80362,0.79587,0.79922,109421.0,49.28125
2022-07-04,0.7947,0.80288,0.79452,0.7971,62795.0,55.302083333333336
2022-07-05,0.7971,0.8042,0.79429,0.8037,94136.0,50.47569444444444
2022-07-06,0.8036,0.80574,0.7998,0.7999,102192.0,49.107638888888886
2022-07-07,0.79995,0.80525,0.79758,0.8,75806.0,50.802083333333336
2022-07-08,0.8,0.80355,0.79805,0.80047,90855.0,50.94097222222222
2022-07-11,0.7977,0.80158,0.7933,0.7933,83471.0,52.37152777777778
2022-07-12,0.79396,0.7996,0.79017,0.79775,89834.0,47.645833333333336
2022-07-13,0.79786,0.79947,0.79027,0.79535,105283.0,50.53819444444444
2022-07-14,0.79556,0.80349,0.79329,0.80335,113101.0,49.25
2022-07-15,0.80315,0.80482,0.79903,0.80172,88351.0,49.638888888888886
2022-07-18,0.7999,0.80587,0.79648,0.79815,74328.0,50.270833333333336
2022-07-19,0.79851,0.80716,0.79696,0.8009,70454.0,48.93402777777778
2022-07-20,0.80087,0.80645,0.7993,0.80226,76241.0,47.75347222222222
2022-07-21,0.80248,0.80443,0.79887,0.80419,82163.0,49.65972222222222
2022-07-22,0.8042,0.80884,0.80071,0.80711,72282.0,50.19444444444444
2022-07-25,0.80535,0.80793,0.80325,0.8041,77479.0,53.947916666666664
2022-07-26,0.80424,0.80552,0.80153,0.80283,67509.0,48.423611111111114
2022-07-27,0.80241,0.80475,0.79795,0.8023,74625.0,50.19444444444444
2022-07-28,0.80308,0.80634,0.80025,0.80403,75879.0,50.541666666666664
2022-07-29,0.80325,0.80923,0.79856,0.80454,82155.0,48.510416666666664
2022-08-01,0.80303,0.81411,0.80085,0.8122,69819.0,51.602787456445995
2022-08-02,0.81216,0.81416,0.80402,0.80505,87677.0,50.31597222222222
2022-08-03,0.80458,0.80624,0.80067,0.803,75214.0,49.14930555555556
2022-08-04,0.80533,0.81088,0.80002,0.8101,68670.0,48.97222222222222
2022-08-05,0.81015,0.81172,0.80582,0.80701,67964.0,48.72569444444444
2022-08-08,0.8058,0.81121,0.80527,0.8071,57010.0,52.46180555555556
2022-08-09,0.8072,0.80995,0.80658,0.80965,55902.0,50.50347222222222
2022-08-10,0.80968,0.82137,0.80864,0.8172,69056.0,50.045138888888886
2022-08-11,0.8172,0.82344,0.81619,0.8207,72921.0,49.18402777777778
2022-08-12,0.82065,0.82505,0.81959,0.82312,61915.0,49.08680555555556
2022-08-15,0.82227,0.82461,0.81941,0.8206,65060.0,55.00347222222222
2022-08-16,0.82032,0.8214,0.81401,0.8145,71055.0,50.03819444444444
2022-08-17,0.8145,0.81964,0.80867,0.80928,83431.0,49.72569444444444
2022-08-18,0.8104,0.8129,0.80766,0.80953,72975.0,49.947916666666664
2022-08-19,0.80895,0.81019,0.80104,0.80172,67278.0,47.947916666666664
2022-08-22,0.80149,0.80677,0.80138,0.80478,84670.0,51.701388888888886
2022-08-23,0.8033,0.80832,0.80248,0.80435,96540.0,48.46180555555556
2022-08-24,0.80418,0.80551,0.7992,0.80143,80155.0,50.073170731707314
