time,Open,High,Low,Close,Volume,Spread,RealVolume
2026-04-20 18:10:00,158.78,158.786,158.739,158.754,811.0,6.0,0.0
2026-04-20 18:15:00,158.753,158.78,158.717,158.734,704.0,6.0,0.0
2026-04-20 18:20:00,158.733,158.745,158.602,158.637,1132.0,6.0,0.0
2026-04-20 18:25:00,158.636,158.649,158.558,158.572,827.0,6.0,0.0
2026-04-20 18:30:00,158.571,158.598,158.551,158.592,883.0,6.0,0.0
2026-04-20 18:35:00,158.592,158.639,158.574,158.604,820.0,6.0,0.0
2026-04-20 18:40:00,158.603,158.603,158.554,158.591,650.0,6.0,0.0
2026-04-20 18:45:00,158.591,158.651,158.588,158.651,501.0,6.0,0.0
2026-04-20 18:50:00,158.65,158.718,158.648,158.697,523.0,6.0,0.0
2026-04-20 18:55:00,158.694,158.695,158.637,158.67,500.0,6.0,0.0
2026-04-20 19:00:00,158.665,158.711,158.649,158.704,612.0,6.0,0.0
2026-04-20 19:05:00,158.703,158.703,158.662,158.678,516.0,6.0,0.0
2026-04-20 19:10:00,158.677,158.681,158.663,158.668,331.0,6.0,0.0
2026-04-20 19:15:00,158.668,158.678,158.636,158.641,424.0,6.0,0.0
2026-04-20 19:20:00,158.64,158.657,158.613,158.655,437.0,6.0,0.0
2026-04-20 19:25:00,158.655,158.661,158.623,158.648,440.0,6.0,0.0
2026-04-20 19:30:00,158.649,158.658,158.626,158.654,396.0,6.0,0.0
2026-04-20 19:35:00,158.655,158.704,158.651,158.692,311.0,6.0,0.0
2026-04-20 19:40:00,158.692,158.694,158.65,158.678,409.0,6.0,0.0
2026-04-20 19:45:00,158.679,158.698,158.658,158.667,307.0,6.0,0.0
2026-04-20 19:50:00,158.668,158.669,158.623,158.655,254.0,6.0,0.0
2026-04-20 19:55:00,158.656,158.69,158.648,158.65,375.0,6.0,0.0
2026-04-20 20:00:00,158.651,158.676,158.605,158.676,560.0,6.0,0.0
2026-04-20 20:05:00,158.674,158.683,158.652,158.656,351.0,6.0,0.0
2026-04-20 20:10:00,158.656,158.694,158.653,158.689,337.0,6.0,0.0
2026-04-20 20:15:00,158.693,158.707,158.677,158.696,381.0,6.0,0.0
2026-04-20 20:20:00,158.695,158.743,158.694,158.743,320.0,6.0,0.0
2026-04-20 20:25:00,158.743,158.757,158.736,158.755,212.0,6.0,0.0
2026-04-20 20:30:00,158.756,158.768,158.751,158.765,265.0,6.0,0.0
2026-04-20 20:35:00,158.765,158.765,158.713,158.739,544.0,6.0,0.0
2026-04-20 20:40:00,158.738,158.753,158.69,158.691,487.0,6.0,0.0
2026-04-20 20:45:00,158.69,158.726,158.69,158.716,245.0,6.0,0.0
2026-04-20 20:50:00,158.717,158.742,158.713,158.738,246.0,6.0,0.0
2026-04-20 20:55:00,158.737,158.758,158.727,158.758,361.0,6.0,0.0
2026-04-20 21:00:00,158.757,158.757,158.716,158.72,438.0,7.0,0.0
2026-04-20 21:05:00,158.72,158.743,158.697,158.716,320.0,8.0,0.0
2026-04-20 21:10:00,158.717,158.762,158.683,158.686,475.0,8.0,0.0
