time,Open,High,Low,Close,Volume,Spread,RealVolume
2026-04-20 13:20:00,79.55,79.552,79.424,79.433,485.0,96.0,0.0
2026-04-20 13:25:00,79.432,79.476,79.393,79.449,396.0,96.0,0.0
2026-04-20 13:30:00,79.448,79.493,79.376,79.393,352.0,96.0,0.0
2026-04-20 13:35:00,79.392,79.411,79.346,79.369,394.0,96.0,0.0
2026-04-20 13:40:00,79.37,79.393,79.276,79.29,399.0,96.0,0.0
2026-04-20 13:45:00,79.292,79.311,79.252,79.304,463.0,96.0,0.0
2026-04-20 13:50:00,79.305,79.318,79.196,79.268,477.0,96.0,0.0
2026-04-20 13:55:00,79.267,79.36,79.21,79.219,546.0,96.0,0.0
2026-04-20 14:00:00,79.231,79.269,79.055,79.099,801.0,96.0,0.0
2026-04-20 14:05:00,79.097,79.304,79.097,79.274,664.0,96.0,0.0
2026-04-20 14:10:00,79.273,79.291,79.093,79.171,565.0,96.0,0.0
2026-04-20 14:15:00,79.169,79.234,79.112,79.203,587.0,96.0,0.0
2026-04-20 14:20:00,79.2,79.275,79.167,79.244,534.0,96.0,0.0
2026-04-20 14:25:00,79.246,79.28,79.199,79.251,491.0,96.0,0.0
2026-04-20 14:30:00,79.25,79.385,79.206,79.31,689.0,96.0,0.0
2026-04-20 14:35:00,79.311,79.357,79.241,79.341,610.0,96.0,0.0
2026-04-20 14:40:00,79.344,79.422,79.29,79.419,583.0,96.0,0.0
2026-04-20 14:45:00,79.426,79.49,79.378,79.443,655.0,96.0,0.0
2026-04-20 14:50:00,79.442,79.582,79.415,79.512,690.0,96.0,0.0
2026-04-20 14:55:00,79.511,79.809,79.511,79.771,608.0,96.0,0.0
2026-04-20 15:00:00,79.773,79.83,79.617,79.69,874.0,102.0,0.0
2026-04-20 15:05:00,79.696,79.737,79.618,79.63,927.0,116.0,0.0
2026-04-20 15:10:00,79.629,79.798,79.629,79.734,842.0,96.0,0.0
2026-04-20 15:15:00,79.743,79.839,79.649,79.799,889.0,96.0,0.0
2026-04-20 15:20:00,79.797,79.921,79.741,79.78,1062.0,96.0,0.0
2026-04-20 15:25:00,79.779,79.784,79.429,79.48,989.0,96.0,0.0
2026-04-20 15:30:00,79.474,79.599,79.474,79.553,844.0,96.0,0.0
2026-04-20 15:35:00,79.556,79.559,79.397,79.478,908.0,96.0,0.0
2026-04-20 15:40:00,79.474,79.602,79.473,79.508,582.0,96.0,0.0
2026-04-20 15:45:00,79.507,79.597,79.474,79.569,641.0,96.0,0.0
2026-04-20 15:50:00,79.569,79.635,79.46,79.527,627.0,96.0,0.0
2026-04-20 15:55:00,79.533,79.599,79.438,79.584,574.0,96.0,0.0
2026-04-20 16:00:00,79.583,79.788,79.523,79.708,1474.0,96.0,0.0
2026-04-20 16:05:00,79.708,80.126,79.708,79.943,1306.0,119.0,0.0
2026-04-20 16:10:00,79.944,80.048,79.893,80.005,1219.0,109.0,0.0
2026-04-20 16:15:00,80.002,80.08,79.93,80.042,1023.0,96.0,0.0
2026-04-20 16:20:00,80.042,80.207,80.015,80.077,970.0,96.0,0.0
2026-04-20 16:25:00,80.08,80.301,80.065,80.288,1041.0,96.0,0.0
2026-04-20 16:30:00,80.288,80.358,80.098,80.266,1681.0,95.0,0.0
2026-04-20 16:35:00,80.269,80.411,80.147,80.182,1618.0,107.0,0.0
2026-04-20 16:40:00,80.185,80.345,80.12,80.274,1453.0,95.0,0.0
2026-04-20 16:45:00,80.267,80.372,80.203,80.256,1624.0,95.0,0.0
2026-04-20 16:50:00,80.255,80.312,80.17,80.279,1478.0,95.0,0.0
2026-04-20 16:55:00,80.266,80.372,80.199,80.244,1212.0,95.0,0.0
2026-04-20 17:00:00,80.259,80.264,79.993,80.116,1304.0,95.0,0.0
2026-04-20 17:05:00,80.117,80.147,79.934,79.951,1253.0,95.0,0.0
2026-04-20 17:10:00,79.95,80.05,79.777,80.028,1374.0,95.0,0.0
2026-04-20 17:15:00,80.025,80.025,79.836,79.93,1309.0,95.0,0.0
2026-04-20 17:20:00,79.929,80.204,79.9,80.2,1173.0,95.0,0.0
2026-04-20 17:25:00,80.2,80.289,80.139,80.208,1325.0,95.0,0.0
