time,Open,High,Low,Close,Volume,Spread,RealVolume
2026-04-20 18:20:00,1.84761,1.84817,1.84721,1.84776,846.0,9.0,0.0
2026-04-20 18:25:00,1.84775,1.84808,1.84753,1.84779,771.0,9.0,0.0
2026-04-20 18:30:00,1.84781,1.848,1.8476,1.84767,718.0,9.0,0.0
2026-04-20 18:35:00,1.84767,1.84843,1.84741,1.84842,677.0,9.0,0.0
2026-04-20 18:40:00,1.84842,1.84852,1.84745,1.84753,660.0,9.0,0.0
2026-04-20 18:45:00,1.84751,1.84757,1.84702,1.84726,523.0,9.0,0.0
2026-04-20 18:50:00,1.84727,1.84859,1.84715,1.84846,733.0,9.0,0.0
2026-04-20 18:55:00,1.84847,1.84855,1.84812,1.84818,651.0,9.0,0.0
2026-04-20 19:00:00,1.84809,1.84848,1.84786,1.84811,629.0,9.0,0.0
2026-04-20 19:05:00,1.84811,1.84822,1.84757,1.84776,563.0,9.0,0.0
2026-04-20 19:10:00,1.84772,1.8478,1.8474,1.84743,442.0,9.0,0.0
2026-04-20 19:15:00,1.84742,1.84762,1.84704,1.8473,496.0,9.0,0.0
2026-04-20 19:20:00,1.8473,1.84733,1.84687,1.84692,407.0,9.0,0.0
2026-04-20 19:25:00,1.84692,1.8473,1.84686,1.84706,432.0,9.0,0.0
2026-04-20 19:30:00,1.84708,1.84743,1.84697,1.84719,437.0,9.0,0.0
2026-04-20 19:35:00,1.84719,1.8474,1.84702,1.84704,425.0,9.0,0.0
2026-04-20 19:40:00,1.84705,1.84766,1.84702,1.84751,379.0,9.0,0.0
2026-04-20 19:45:00,1.8475,1.84751,1.84698,1.84705,446.0,9.0,0.0
2026-04-20 19:50:00,1.84704,1.8474,1.84685,1.8474,402.0,9.0,0.0
2026-04-20 19:55:00,1.84739,1.84754,1.84682,1.84716,470.0,9.0,0.0
2026-04-20 20:00:00,1.84719,1.84765,1.84706,1.84724,605.0,9.0,0.0
2026-04-20 20:05:00,1.84723,1.84741,1.847,1.847,390.0,9.0,0.0
2026-04-20 20:10:00,1.84705,1.84721,1.84697,1.84719,338.0,9.0,0.0
2026-04-20 20:15:00,1.84719,1.84724,1.84685,1.84689,315.0,9.0,0.0
2026-04-20 20:20:00,1.84688,1.84701,1.84667,1.84671,385.0,10.0,0.0
2026-04-20 20:25:00,1.84672,1.8469,1.84658,1.84664,374.0,9.0,0.0
2026-04-20 20:30:00,1.84664,1.84671,1.84611,1.84621,349.0,9.0,0.0
2026-04-20 20:35:00,1.84622,1.84671,1.84619,1.84671,489.0,9.0,0.0
2026-04-20 20:40:00,1.8467,1.84695,1.84646,1.84671,406.0,9.0,0.0
2026-04-20 20:45:00,1.84669,1.84682,1.84651,1.84657,303.0,9.0,0.0
2026-04-20 20:50:00,1.84657,1.8466,1.84617,1.84623,316.0,9.0,0.0
