time,Open,High,Low,Close,Volume,Spread,RealVolume
2026-04-20 18:00:00,2.29775,2.29843,2.29764,2.29811,831.0,10.0,0.0
2026-04-20 18:05:00,2.29809,2.29812,2.29731,2.2975,797.0,10.0,0.0
2026-04-20 18:10:00,2.2975,2.29802,2.2972,2.29764,736.0,10.0,0.0
2026-04-20 18:15:00,2.29766,2.29797,2.29726,2.29789,677.0,10.0,0.0
2026-04-20 18:20:00,2.29789,2.29802,2.29658,2.29661,889.0,10.0,0.0
2026-04-20 18:25:00,2.2966,2.29693,2.29623,2.29647,803.0,10.0,0.0
2026-04-20 18:30:00,2.29648,2.2972,2.29646,2.29684,773.0,10.0,0.0
2026-04-20 18:35:00,2.29684,2.29812,2.29681,2.2981,700.0,10.0,0.0
2026-04-20 18:40:00,2.29812,2.29812,2.29767,2.29799,644.0,10.0,0.0
2026-04-20 18:45:00,2.29798,2.29838,2.29797,2.29834,582.0,9.0,0.0
2026-04-20 18:50:00,2.29835,2.29885,2.29819,2.29865,653.0,10.0,0.0
2026-04-20 18:55:00,2.29869,2.29875,2.2982,2.29848,456.0,10.0,0.0
2026-04-20 19:00:00,2.29837,2.29913,2.29829,2.29907,547.0,21.0,0.0
2026-04-20 19:05:00,2.29903,2.29909,2.29848,2.29872,523.0,14.0,0.0
2026-04-20 19:10:00,2.29871,2.29879,2.29839,2.2987,457.0,10.0,0.0
2026-04-20 19:15:00,2.29869,2.29881,2.29843,2.29875,464.0,14.0,0.0
2026-04-20 19:20:00,2.29876,2.29876,2.29839,2.29848,444.0,14.0,0.0
2026-04-20 19:25:00,2.29848,2.29873,2.29831,2.2984,408.0,14.0,0.0
2026-04-20 19:30:00,2.29842,2.29895,2.29823,2.29895,440.0,17.0,0.0
2026-04-20 19:35:00,2.29895,2.29984,2.29891,2.29959,396.0,14.0,0.0
2026-04-20 19:40:00,2.29961,2.29972,2.29888,2.29901,466.0,18.0,0.0
2026-04-20 19:45:00,2.29899,2.29905,2.29793,2.29794,469.0,18.0,0.0
2026-04-20 19:50:00,2.29793,2.29834,2.29765,2.2983,431.0,10.0,0.0
2026-04-20 19:55:00,2.2983,2.29876,2.29822,2.29836,509.0,10.0,0.0
2026-04-20 20:00:00,2.29844,2.2985,2.2979,2.29826,611.0,10.0,0.0
2026-04-20 20:05:00,2.29824,2.29828,2.29757,2.29764,398.0,10.0,0.0
2026-04-20 20:10:00,2.29761,2.29788,2.29747,2.2976,401.0,10.0,0.0
2026-04-20 20:15:00,2.29765,2.29782,2.29749,2.29777,365.0,10.0,0.0
2026-04-20 20:20:00,2.29777,2.29786,2.29756,2.29785,415.0,10.0,0.0
2026-04-20 20:25:00,2.29785,2.29799,2.29766,2.29795,371.0,10.0,0.0
2026-04-20 20:30:00,2.29795,2.2981,2.29776,2.29809,354.0,10.0,0.0
2026-04-20 20:35:00,2.29811,2.29824,2.29782,2.2981,502.0,16.0,0.0
2026-04-20 20:40:00,2.2981,2.29819,2.29776,2.29804,403.0,21.0,0.0
2026-04-20 20:45:00,2.29802,2.29836,2.29782,2.29809,321.0,10.0,0.0
2026-04-20 20:50:00,2.29809,2.29812,2.29781,2.29791,291.0,10.0,0.0
