time,Open,High,Low,Close,Volume,Spread,RealVolume
2026-04-20 18:20:00,1.35273,1.35383,1.35265,1.35346,1583.0,2.0,0.0
2026-04-20 18:25:00,1.35347,1.35386,1.35338,1.35373,1491.0,2.0,0.0
2026-04-20 18:30:00,1.35372,1.35394,1.35358,1.35367,1254.0,2.0,0.0
2026-04-20 18:35:00,1.35366,1.35418,1.35344,1.35413,1199.0,2.0,0.0
2026-04-20 18:40:00,1.35414,1.35443,1.35404,1.35413,987.0,2.0,0.0
2026-04-20 18:45:00,1.35414,1.35417,1.35389,1.35414,805.0,2.0,0.0
2026-04-20 18:50:00,1.35412,1.35416,1.35371,1.35374,903.0,2.0,0.0
2026-04-20 18:55:00,1.35375,1.3541,1.35373,1.35401,522.0,2.0,0.0
2026-04-20 19:00:00,1.354,1.35444,1.35386,1.3541,800.0,2.0,0.0
2026-04-20 19:05:00,1.35412,1.35428,1.35388,1.35415,842.0,2.0,0.0
2026-04-20 19:10:00,1.35414,1.35418,1.35393,1.35406,627.0,2.0,0.0
2026-04-20 19:15:00,1.35407,1.35434,1.35398,1.35433,589.0,2.0,0.0
2026-04-20 19:20:00,1.35433,1.35436,1.35383,1.35385,502.0,2.0,0.0
2026-04-20 19:25:00,1.35385,1.35398,1.35371,1.3538,485.0,2.0,0.0
2026-04-20 19:30:00,1.35381,1.35417,1.35381,1.35385,555.0,2.0,0.0
2026-04-20 19:35:00,1.35384,1.35388,1.35354,1.35365,419.0,2.0,0.0
2026-04-20 19:40:00,1.35366,1.35417,1.35363,1.35402,574.0,2.0,0.0
2026-04-20 19:45:00,1.35401,1.35403,1.35365,1.35376,643.0,2.0,0.0
2026-04-20 19:50:00,1.35376,1.35403,1.35361,1.35395,505.0,2.0,0.0
2026-04-20 19:55:00,1.35394,1.35395,1.35351,1.3538,673.0,2.0,0.0
2026-04-20 20:00:00,1.35379,1.35441,1.35379,1.35383,987.0,2.0,0.0
2026-04-20 20:05:00,1.35382,1.35406,1.35373,1.35393,530.0,2.0,0.0
2026-04-20 20:10:00,1.35392,1.35398,1.35381,1.35388,423.0,2.0,0.0
2026-04-20 20:15:00,1.35391,1.35392,1.35377,1.35384,377.0,2.0,0.0
2026-04-20 20:20:00,1.35385,1.35388,1.35343,1.35345,442.0,2.0,0.0
2026-04-20 20:25:00,1.35345,1.35349,1.35323,1.35326,424.0,2.0,0.0
