time,Open,High,Low,Close,Volume,Spread,RealVolume
2026-04-20 18:20:00,1.3659,1.36594,1.36518,1.36529,787.0,2.0,0.0
2026-04-20 18:25:00,1.3653,1.36532,1.36499,1.36504,484.0,2.0,0.0
2026-04-20 18:30:00,1.36505,1.36512,1.36484,1.36502,501.0,2.0,0.0
2026-04-20 18:35:00,1.36501,1.36531,1.3649,1.3651,500.0,2.0,0.0
2026-04-20 18:40:00,1.36509,1.36509,1.36436,1.36444,458.0,2.0,0.0
2026-04-20 18:45:00,1.36443,1.36458,1.36418,1.36424,366.0,2.0,0.0
2026-04-20 18:50:00,1.36425,1.36554,1.36423,1.36552,741.0,2.0,0.0
2026-04-20 18:55:00,1.36551,1.36553,1.36498,1.36504,889.0,2.0,0.0
2026-04-20 19:00:00,1.36503,1.36503,1.36464,1.3649,587.0,2.0,0.0
2026-04-20 19:05:00,1.3649,1.36492,1.36453,1.36459,386.0,2.0,0.0
2026-04-20 19:10:00,1.36458,1.36468,1.36442,1.36443,294.0,2.0,0.0
2026-04-20 19:15:00,1.36442,1.36455,1.36405,1.36407,375.0,2.0,0.0
2026-04-20 19:20:00,1.36406,1.36434,1.36397,1.36427,212.0,2.0,0.0
2026-04-20 19:25:00,1.36426,1.36447,1.36426,1.36443,304.0,2.0,0.0
2026-04-20 19:30:00,1.36443,1.36447,1.36424,1.36447,335.0,2.0,0.0
2026-04-20 19:35:00,1.36451,1.36474,1.36451,1.36456,316.0,2.0,0.0
2026-04-20 19:40:00,1.36455,1.36462,1.36444,1.36454,236.0,2.0,0.0
2026-04-20 19:45:00,1.36454,1.36474,1.36444,1.36446,221.0,2.0,0.0
2026-04-20 19:50:00,1.36446,1.36455,1.36429,1.36453,184.0,2.0,0.0
2026-04-20 19:55:00,1.36454,1.36473,1.36449,1.3645,262.0,2.0,0.0
2026-04-20 20:00:00,1.36449,1.36456,1.36428,1.36453,473.0,2.0,0.0
2026-04-20 20:05:00,1.36454,1.36457,1.36425,1.36425,222.0,2.0,0.0
2026-04-20 20:10:00,1.36428,1.36447,1.36425,1.36444,159.0,2.0,0.0
2026-04-20 20:15:00,1.36443,1.36447,1.36421,1.36426,136.0,2.0,0.0
2026-04-20 20:20:00,1.36425,1.36454,1.36423,1.36452,168.0,2.0,0.0
2026-04-20 20:25:00,1.36453,1.36482,1.36453,1.36466,211.0,2.0,0.0
2026-04-20 20:30:00,1.36465,1.36468,1.36431,1.36435,164.0,2.0,0.0
2026-04-20 20:35:00,1.36436,1.36448,1.36427,1.36444,319.0,2.0,0.0
2026-04-20 20:40:00,1.36443,1.36466,1.36438,1.3645,268.0,2.0,0.0
2026-04-20 20:45:00,1.36451,1.36452,1.36436,1.36439,166.0,2.0,0.0
2026-04-20 20:50:00,1.3644,1.36445,1.36423,1.36427,227.0,2.0,0.0
2026-04-20 20:55:00,1.36426,1.36427,1.36415,1.36417,189.0,2.0,0.0
2026-04-20 21:00:00,1.36415,1.36421,1.36405,1.36408,167.0,8.0,0.0
2026-04-20 21:05:00,1.36407,1.36408,1.36386,1.36388,215.0,8.0,0.0
2026-04-20 21:10:00,1.36389,1.3641,1.36373,1.36376,326.0,8.0,0.0
2026-04-20 21:15:00,1.36375,1.36391,1.36364,1.3637,169.0,8.0,0.0
2026-04-20 21:20:00,1.36369,1.36373,1.36351,1.36363,209.0,8.0,0.0
2026-04-20 21:25:00,1.36362,1.36373,1.36348,1.36368,313.0,8.0,0.0
2026-04-20 21:30:00,1.36367,1.36384,1.36359,1.36379,245.0,8.0,0.0
2026-04-20 21:35:00,1.36378,1.36402,1.3637,1.36399,254.0,8.0,0.0
2026-04-20 21:40:00,1.36398,1.36419,1.3639,1.36415,202.0,8.0,0.0
2026-04-20 21:45:00,1.36414,1.36423,1.36407,1.36419,177.0,8.0,0.0
2026-04-20 21:50:00,1.3642,1.36444,1.36415,1.36435,228.0,8.0,0.0
2026-04-20 21:55:00,1.36434,1.36448,1.36426,1.36437,317.0,8.0,0.0
2026-04-20 22:00:00,1.36436,1.36439,1.36417,1.36427,173.0,8.0,0.0
