time,Open,High,Low,Close,Volume,Spread
2026-04-06 08:30:00,1.28606,1.28623,1.28603,1.28616,301.0,18.0
2026-04-06 08:45:00,1.28616,1.28628,1.28602,1.28615,267.0,18.0
2026-04-06 09:00:00,1.28616,1.2863,1.28596,1.28601,407.0,19.333333333333332
2026-04-06 09:15:00,1.28602,1.28639,1.286,1.28629,279.0,20.0
2026-04-06 09:30:00,1.2863,1.28639,1.28604,1.28617,250.0,19.0
2026-04-06 09:45:00,1.28618,1.28633,1.28553,1.28571,909.0,20.0
2026-04-06 10:00:00,1.28572,1.28634,1.28562,1.28599,653.0,16.666666666666668
2026-04-06 10:15:00,1.28598,1.28599,1.28566,1.28567,391.0,15.333333333333334
2026-04-06 10:30:00,1.28565,1.28566,1.28488,1.28498,503.0,16.333333333333332
2026-04-06 10:45:00,1.28499,1.285,1.28359,1.28384,1067.0,16.666666666666668
2026-04-06 11:00:00,1.28383,1.2843,1.28354,1.28405,1041.0,16.0
2026-04-06 11:15:00,1.28404,1.28422,1.28362,1.28374,768.0,16.0
2026-04-06 11:30:00,1.28373,1.28376,1.28343,1.28362,543.0,15.0
2026-04-06 11:45:00,1.28363,1.2839,1.28362,1.28379,490.0,15.666666666666666
2026-04-06 12:00:00,1.28378,1.28381,1.28347,1.28364,469.0,15.333333333333334
2026-04-06 12:15:00,1.28363,1.28372,1.28334,1.28346,411.0,15.0
2026-04-06 12:30:00,1.28349,1.28349,1.28308,1.28329,415.0,15.0
2026-04-06 12:45:00,1.28329,1.28393,1.28316,1.28381,1092.0,15.666666666666666
2026-04-06 13:00:00,1.28378,1.28389,1.28352,1.28371,759.0,16.666666666666668
2026-04-06 13:15:00,1.28372,1.2839,1.28367,1.28388,507.0,16.666666666666668
2026-04-06 13:30:00,1.28388,1.28398,1.28368,1.28381,427.0,16.0
2026-04-06 13:45:00,1.2838,1.28475,1.2838,1.28412,1108.0,16.666666666666668
2026-04-06 14:00:00,1.2841,1.28459,1.28397,1.28458,496.0,16.0
2026-04-06 14:15:00,1.28457,1.28474,1.28439,1.28457,478.0,16.0
2026-04-06 14:30:00,1.28456,1.28458,1.28429,1.28446,381.0,16.0
2026-04-06 14:45:00,1.28447,1.28448,1.28419,1.28445,447.0,16.333333333333332
2026-04-06 15:00:00,1.28443,1.28451,1.28413,1.2844,524.0,16.0
2026-04-06 15:15:00,1.28439,1.28465,1.28426,1.2843,559.0,16.0
2026-04-06 15:30:00,1.28431,1.28432,1.28393,1.28397,458.0,16.0
2026-04-06 15:45:00,1.28398,1.28398,1.28363,1.28365,616.0,16.0
2026-04-06 16:00:00,1.28366,1.28406,1.28357,1.28365,751.0,17.0
2026-04-06 16:15:00,1.28366,1.28384,1.28356,1.28356,406.0,16.0
2026-04-06 16:30:00,1.28355,1.28366,1.28326,1.28359,903.0,16.666666666666668
2026-04-06 16:45:00,1.28358,1.28375,1.28335,1.28335,720.0,16.0
2026-04-06 17:00:00,1.28349,1.28405,1.28315,1.28363,976.0,16.333333333333332
2026-04-06 17:15:00,1.28364,1.28365,1.28309,1.2831,786.0,16.0
2026-04-06 17:30:00,1.28311,1.28425,1.283,1.28343,1235.0,16.666666666666668
2026-04-06 17:45:00,1.28344,1.28435,1.28341,1.2843,1165.0,16.0
2026-04-06 18:00:00,1.28431,1.28488,1.28426,1.28479,957.0,16.0
2026-04-06 18:15:00,1.28478,1.28497,1.28459,1.28471,584.0,16.0
2026-04-06 18:30:00,1.28472,1.28498,1.28467,1.28479,437.0,16.0
2026-04-06 18:45:00,1.2848,1.28488,1.28453,1.28454,351.0,16.0
2026-04-06 19:00:00,1.28452,1.28452,1.28422,1.28436,441.0,18.333333333333332
