time,Open,High,Low,Close,Volume,Spread,RealVolume
2026-04-20 18:20:00,0.57013,0.57018,0.56962,0.56978,497.0,10.0,0.0
2026-04-20 18:25:00,0.56977,0.56988,0.56964,0.56977,351.0,10.0,0.0
2026-04-20 18:30:00,0.56978,0.5699,0.56973,0.56986,363.0,10.0,0.0
2026-04-20 18:35:00,0.56985,0.56994,0.56967,0.56976,355.0,10.0,0.0
2026-04-20 18:40:00,0.56977,0.57019,0.5697,0.57018,321.0,10.0,0.0
2026-04-20 18:45:00,0.57019,0.57038,0.57011,0.5703,302.0,10.0,0.0
2026-04-20 18:50:00,0.5703,0.57037,0.57003,0.57005,370.0,10.0,0.0
2026-04-20 18:55:00,0.57002,0.57011,0.56989,0.57011,374.0,10.0,0.0
2026-04-20 19:00:00,0.57008,0.57016,0.56999,0.57011,332.0,10.0,0.0
2026-04-20 19:05:00,0.57011,0.5702,0.57005,0.57014,249.0,10.0,0.0
2026-04-20 19:10:00,0.57016,0.57028,0.57011,0.57027,194.0,10.0,0.0
2026-04-20 19:15:00,0.57028,0.57038,0.57022,0.57034,230.0,10.0,0.0
2026-04-20 19:20:00,0.57035,0.5704,0.57029,0.57033,176.0,10.0,0.0
2026-04-20 19:25:00,0.57033,0.57039,0.57025,0.57033,200.0,10.0,0.0
2026-04-20 19:30:00,0.57033,0.57044,0.57032,0.57042,190.0,10.0,0.0
2026-04-20 19:35:00,0.57041,0.5705,0.57038,0.57045,158.0,10.0,0.0
2026-04-20 19:40:00,0.57045,0.57047,0.57025,0.57038,210.0,10.0,0.0
2026-04-20 19:45:00,0.57039,0.57048,0.57035,0.57044,173.0,10.0,0.0
2026-04-20 19:50:00,0.57043,0.57048,0.57027,0.57028,169.0,10.0,0.0
2026-04-20 19:55:00,0.57028,0.57037,0.57026,0.57031,215.0,10.0,0.0
2026-04-20 20:00:00,0.57032,0.57037,0.57018,0.57032,278.0,10.0,0.0
2026-04-20 20:05:00,0.57033,0.57035,0.57023,0.57032,145.0,10.0,0.0
2026-04-20 20:10:00,0.5703,0.57035,0.57026,0.5703,135.0,10.0,0.0
2026-04-20 20:15:00,0.57029,0.57041,0.57025,0.57039,131.0,10.0,0.0
2026-04-20 20:20:00,0.5704,0.57051,0.5704,0.5705,148.0,10.0,0.0
2026-04-20 20:25:00,0.5705,0.57054,0.57043,0.57052,138.0,10.0,0.0
2026-04-20 20:30:00,0.57053,0.57073,0.57048,0.57069,117.0,10.0,0.0
2026-04-20 20:35:00,0.57068,0.5707,0.57053,0.57054,233.0,11.0,0.0
2026-04-20 20:40:00,0.57055,0.5706,0.57043,0.57053,181.0,10.0,0.0
2026-04-20 20:45:00,0.57052,0.57058,0.5705,0.57055,144.0,10.0,0.0
2026-04-20 20:50:00,0.57056,0.57069,0.57054,0.57066,146.0,10.0,0.0
2026-04-20 20:55:00,0.57065,0.57074,0.57061,0.57066,144.0,10.0,0.0
2026-04-20 21:00:00,0.57066,0.57066,0.57052,0.57062,194.0,12.0,0.0
2026-04-20 21:05:00,0.57063,0.57066,0.57054,0.57058,148.0,12.0,0.0
2026-04-20 21:10:00,0.57059,0.57075,0.57051,0.57054,223.0,12.0,0.0
2026-04-20 21:15:00,0.57055,0.57059,0.57047,0.57058,193.0,12.0,0.0
2026-04-20 21:20:00,0.57057,0.57062,0.57051,0.57062,197.0,12.0,0.0
2026-04-20 21:25:00,0.57061,0.57077,0.57059,0.57076,236.0,12.0,0.0
2026-04-20 21:30:00,0.57076,0.57084,0.5707,0.5707,216.0,12.0,0.0
2026-04-20 21:35:00,0.57071,0.57088,0.57069,0.57084,229.0,12.0,0.0
2026-04-20 21:40:00,0.57085,0.57085,0.57067,0.57071,173.0,12.0,0.0
2026-04-20 21:45:00,0.57072,0.57079,0.57069,0.57074,165.0,12.0,0.0
2026-04-20 21:50:00,0.57074,0.57075,0.57064,0.5707,169.0,12.0,0.0
2026-04-20 21:55:00,0.57069,0.57082,0.57069,0.57079,264.0,12.0,0.0
2026-04-20 22:00:00,0.57078,0.57081,0.57062,0.57063,171.0,12.0,0.0
2026-04-20 22:05:00,0.57064,0.57065,0.57052,0.57062,126.0,12.0,0.0
2026-04-20 22:10:00,0.57063,0.57063,0.57052,0.57055,98.0,12.0,0.0
